"from","to","resource","amount","startTime","stopTime"
"Gamma","Delta","ventilators",0,0,1
"Gamma","Epsilon","ventilators",0,0,1
"Gamma","Zeta","ventilators",0,0,1
"Gamma","Eta","ventilators",0,0,1
"Gamma","Theta","ventilators",0,0,1
"Gamma","Iota","ventilators",0,0,1
"Gamma","Kappa","ventilators",0,0,1
"Delta","Delta","financial",0,0,1
"Delta","Alpha","financial",0,0,1
"Delta","Beta","financial",0,0,1
"Delta","Gamma","financial",0,0,1
"Delta","Epsilon","financial",0,0,1
"Delta","Zeta","financial",0,0,1
"Delta","Eta","financial",0,0,1
"Delta","Theta","financial",0,0,1
"Delta","Iota","financial",0,0,1
"Delta","Kappa","financial",0,0,1
"Delta","Delta","vaccines",0,0,1
"Delta","Alpha","vaccines",0,0,1
"Delta","Beta","vaccines",0,0,1
"Delta","Gamma","vaccines",0,0,1
"Delta","Epsilon","vaccines",0,0,1
"Delta","Zeta","vaccines",0,0,1
"Delta","Eta","vaccines",0,0,1
"Delta","Theta","vaccines",0,0,1
"Delta","Iota","vaccines",0,0,1
"Delta","Kappa","vaccines",0,0,1
"Delta","Delta","antivirals",0,0,1
"Delta","Alpha","antivirals",0,0,1
"Delta","Beta","antivirals",0,0,1
"Delta","Gamma","antivirals",0,0,1
"Delta","Epsilon","antivirals",0,0,1
"Delta","Zeta","antivirals",0,0,1
"Delta","Eta","antivirals",0,0,1
"Delta","Theta","antivirals",0,0,1
"Delta","Iota","antivirals",0,0,1
"Delta","Kappa","antivirals",0,0,1
"Delta","Delta","ventilators",0,0,1
"Delta","Alpha","ventilators",0,0,1
"Delta","Beta","ventilators",0,0,1
"Delta","Gamma","ventilators",0,0,1
"Delta","Epsilon","ventilators",0,0,1
"Delta","Zeta","ventilators",0,0,1
"Delta","Eta","ventilators",0,0,1
"Delta","Theta","ventilators",0,0,1
"Delta","Iota","ventilators",0,0,1
"Delta","Kappa","ventilators",0,0,1
"Epsilon","Epsilon","financial",0,0,1
"Epsilon","Alpha","financial",0,0,1
"Epsilon","Beta","financial",0,0,1
"Epsilon","Gamma","financial",0,0,1
"Epsilon","Delta","financial",0,0,1
"Epsilon","Zeta","financial",0,0,1
"Epsilon","Eta","financial",0,0,1
"Epsilon","Theta","financial",0,0,1
"Epsilon","Iota","financial",0,0,1
"Epsilon","Kappa","financial",0,0,1
"Epsilon","Epsilon","vaccines",0,0,1
"Epsilon","Alpha","vaccines",0,0,1
"Epsilon","Beta","vaccines",0,0,1
"Epsilon","Gamma","vaccines",0,0,1
"Epsilon","Delta","vaccines",0,0,1
"Epsilon","Zeta","vaccines",0,0,1
"Epsilon","Eta","vaccines",0,0,1
"Epsilon","Theta","vaccines",0,0,1
"Epsilon","Iota","vaccines",0,0,1
"Epsilon","Kappa","vaccines",0,0,1
"Epsilon","Epsilon","antivirals",0,0,1
"Epsilon","Alpha","antivirals",0,0,1
"Epsilon","Beta","antivirals",0,0,1
"Epsilon","Gamma","antivirals",0,0,1
"Epsilon","Delta","antivirals",0,0,1
"Epsilon","Zeta","antivirals",0,0,1
"Epsilon","Eta","antivirals",0,0,1
"Epsilon","Theta","antivirals",0,0,1
"Epsilon","Iota","antivirals",0,0,1
"Epsilon","Kappa","antivirals",0,0,1
"Epsilon","Epsilon","ventilators",0,0,1
"Epsilon","Alpha","ventilators",0,0,1
"Epsilon","Beta","ventilators",0,0,1
"Epsilon","Gamma","ventilators",0,0,1
"Epsilon","Delta","ventilators",0,0,1
"Epsilon","Zeta","ventilators",0,0,1
"Epsilon","Eta","ventilators",0,0,1
"Epsilon","Theta","ventilators",0,0,1
"Epsilon","Iota","ventilators",0,0,1
"Epsilon","Kappa","ventilators",0,0,1
"Zeta","Zeta","financial",0,0,1
"Zeta","Alpha","financial",0,0,1
"Zeta","Beta","financial",0,0,1
"Zeta","Gamma","financial",0,0,1
"Zeta","Delta","financial",0,0,1
"Zeta","Epsilon","financial",0,0,1
"Zeta","Eta","financial",0,0,1
"Zeta","Theta","financial",0,0,1
"Zeta","Iota","financial",0,0,1
"Zeta","Kappa","financial",0,0,1
"Zeta","Zeta","vaccines",0,0,1
"Zeta","Alpha","vaccines",0,0,1
"Zeta","Beta","vaccines",0,0,1
"Zeta","Gamma","vaccines",0,0,1
"Zeta","Delta","vaccines",0,0,1
"Zeta","Epsilon","vaccines",0,0,1
"Zeta","Eta","vaccines",0,0,1
"Zeta","Theta","vaccines",0,0,1
"Zeta","Iota","vaccines",0,0,1
"Zeta","Kappa","vaccines",0,0,1
"Zeta","Zeta","antivirals",0,0,1
"Zeta","Alpha","antivirals",0,0,1
"Zeta","Beta","antivirals",0,0,1
"Zeta","Gamma","antivirals",0,0,1
"Zeta","Delta","antivirals",0,0,1
"Zeta","Epsilon","antivirals",0,0,1
"Zeta","Eta","antivirals",0,0,1
"Zeta","Theta","antivirals",0,0,1
"Zeta","Iota","antivirals",0,0,1
"Zeta","Kappa","antivirals",0,0,1
"Zeta","Zeta","ventilators",0,0,1
"Zeta","Alpha","ventilators",0,0,1
"Zeta","Beta","ventilators",0,0,1
"Zeta","Gamma","ventilators",0,0,1
"Zeta","Delta","ventilators",0,0,1
"Zeta","Epsilon","ventilators",0,0,1
"Zeta","Eta","ventilators",0,0,1
"Zeta","Theta","ventilators",0,0,1
"Zeta","Iota","ventilators",0,0,1
"Zeta","Kappa","ventilators",0,0,1
"Eta","Eta","financial",0,0,1
"Eta","Alpha","financial",0,0,1
"Eta","Beta","financial",0,0,1
"Eta","Gamma","financial",0,0,1
"Eta","Delta","financial",0,0,1
"Eta","Epsilon","financial",0,0,1
"Eta","Zeta","financial",0,0,1
"Eta","Theta","financial",0,0,1
"Eta","Iota","financial",0,0,1
"Eta","Kappa","financial",0,0,1
"Eta","Eta","vaccines",0,0,1
"Eta","Alpha","vaccines",0,0,1
"Eta","Beta","vaccines",0,0,1
"Eta","Gamma","vaccines",0,0,1
"Eta","Delta","vaccines",0,0,1
"Eta","Epsilon","vaccines",0,0,1
"Eta","Zeta","vaccines",0,0,1
"Eta","Theta","vaccines",0,0,1
"Eta","Iota","vaccines",0,0,1
"Eta","Kappa","vaccines",0,0,1
"Eta","Eta","antivirals",0,0,1
"Eta","Alpha","antivirals",0,0,1
"Eta","Beta","antivirals",0,0,1
"Eta","Gamma","antivirals",0,0,1
"Eta","Delta","antivirals",0,0,1
"Eta","Epsilon","antivirals",0,0,1
"Eta","Zeta","antivirals",0,0,1
"Eta","Theta","antivirals",0,0,1
"Eta","Iota","antivirals",0,0,1
"Eta","Kappa","antivirals",0,0,1
"Eta","Eta","ventilators",0,0,1
"Eta","Alpha","ventilators",0,0,1
"Eta","Beta","ventilators",0,0,1
"Eta","Gamma","ventilators",0,0,1
"Eta","Delta","ventilators",0,0,1
"Eta","Epsilon","ventilators",0,0,1
"Eta","Zeta","ventilators",0,0,1
"Eta","Theta","ventilators",0,0,1
"Eta","Iota","ventilators",0,0,1
"Eta","Kappa","ventilators",0,0,1
"Theta","Theta","financial",0,0,1
"Theta","Alpha","financial",0,0,1
"Theta","Beta","financial",0,0,1
"Theta","Gamma","financial",0,0,1
"Theta","Delta","financial",0,0,1
"Theta","Epsilon","financial",0,0,1
"Theta","Zeta","financial",0,0,1
"Theta","Eta","financial",0,0,1
"Theta","Iota","financial",0,0,1
"Theta","Kappa","financial",0,0,1
"Theta","Theta","vaccines",0,0,1
"Theta","Alpha","vaccines",0,0,1
"Theta","Beta","vaccines",0,0,1
"Theta","Gamma","vaccines",0,0,1
"Theta","Delta","vaccines",0,0,1
"Theta","Epsilon","vaccines",0,0,1
"Theta","Zeta","vaccines",0,0,1
"Theta","Eta","vaccines",0,0,1
"Theta","Iota","vaccines",0,0,1
"Theta","Kappa","vaccines",0,0,1
"Theta","Theta","antivirals",0,0,1
"Theta","Alpha","antivirals",0,0,1
"Theta","Beta","antivirals",0,0,1
"Theta","Gamma","antivirals",0,0,1
"Theta","Delta","antivirals",0,0,1
"Theta","Epsilon","antivirals",0,0,1
"Theta","Zeta","antivirals",0,0,1
"Theta","Eta","antivirals",0,0,1
"Theta","Iota","antivirals",0,0,1
"Theta","Kappa","antivirals",0,0,1
"Theta","Theta","ventilators",0,0,1
"Theta","Alpha","ventilators",0,0,1
"Theta","Beta","ventilators",0,0,1
"Theta","Gamma","ventilators",0,0,1
"Theta","Delta","ventilators",0,0,1
"Theta","Epsilon","ventilators",0,0,1
"Theta","Zeta","ventilators",0,0,1
"Theta","Eta","ventilators",0,0,1
"Theta","Iota","ventilators",0,0,1
"Theta","Kappa","ventilators",0,0,1
"Iota","Iota","financial",0,0,1
"Iota","Alpha","financial",0,0,1
"Iota","Beta","financial",0,0,1
"Iota","Gamma","financial",0,0,1
"Iota","Delta","financial",0,0,1
"Iota","Epsilon","financial",0,0,1
"Iota","Zeta","financial",0,0,1
"Iota","Eta","financial",0,0,1
"Iota","Theta","financial",0,0,1
"Iota","Kappa","financial",0,0,1
"Iota","Iota","vaccines",0,0,1
"Iota","Alpha","vaccines",0,0,1
"Iota","Beta","vaccines",0,0,1
"Iota","Gamma","vaccines",0,0,1
"Iota","Delta","vaccines",0,0,1
"Iota","Epsilon","vaccines",0,0,1
"Iota","Zeta","vaccines",0,0,1
"Iota","Eta","vaccines",0,0,1
"Iota","Theta","vaccines",0,0,1
"Iota","Kappa","vaccines",0,0,1
"Iota","Iota","antivirals",0,0,1
"Iota","Alpha","antivirals",0,0,1
"Iota","Beta","antivirals",0,0,1
"Iota","Gamma","antivirals",0,0,1
"Iota","Delta","antivirals",0,0,1
"Iota","Epsilon","antivirals",0,0,1
"Iota","Zeta","antivirals",0,0,1
"Iota","Eta","antivirals",0,0,1
"Iota","Theta","antivirals",0,0,1
"Iota","Kappa","antivirals",0,0,1
"Iota","Iota","ventilators",0,0,1
"Iota","Alpha","ventilators",0,0,1
"Iota","Beta","ventilators",0,0,1
"Iota","Gamma","ventilators",0,0,1
"Iota","Delta","ventilators",0,0,1
"Iota","Epsilon","ventilators",0,0,1
"Iota","Zeta","ventilators",0,0,1
"Iota","Eta","ventilators",0,0,1
"Iota","Theta","ventilators",0,0,1
"Iota","Kappa","ventilators",0,0,1
"Kappa","Kappa","financial",0,0,1
"Kappa","Alpha","financial",0,0,1
"Kappa","Beta","financial",0,0,1
"Kappa","Gamma","financial",0,0,1
"Kappa","Delta","financial",0,0,1
"Kappa","Epsilon","financial",0,0,1
"Kappa","Zeta","financial",0,0,1
"Kappa","Eta","financial",0,0,1
"Kappa","Theta","financial",0,0,1
"Kappa","Iota","financial",0,0,1
"Kappa","Kappa","vaccines",0,0,1
"Kappa","Alpha","vaccines",0,0,1
"Kappa","Beta","vaccines",0,0,1
"Kappa","Gamma","vaccines",0,0,1
"Kappa","Delta","vaccines",0,0,1
"Kappa","Epsilon","vaccines",0,0,1
"Kappa","Zeta","vaccines",0,0,1
"Kappa","Eta","vaccines",0,0,1
"Kappa","Theta","vaccines",0,0,1
"Kappa","Iota","vaccines",0,0,1
"Kappa","Kappa","antivirals",0,0,1
"Kappa","Alpha","antivirals",0,0,1
"Kappa","Beta","antivirals",0,0,1
"Kappa","Gamma","antivirals",0,0,1
"Kappa","Delta","antivirals",0,0,1
"Kappa","Epsilon","antivirals",0,0,1
"Kappa","Zeta","antivirals",0,0,1
"Kappa","Eta","antivirals",0,0,1
"Kappa","Theta","antivirals",0,0,1
"Kappa","Iota","antivirals",0,0,1
"Kappa","Kappa","ventilators",0,0,1
"Kappa","Alpha","ventilators",0,0,1
"Kappa","Beta","ventilators",0,0,1
"Kappa","Gamma","ventilators",0,0,1
"Kappa","Delta","ventilators",0,0,1
"Kappa","Epsilon","ventilators",0,0,1
"Kappa","Zeta","ventilators",0,0,1
"Kappa","Eta","ventilators",0,0,1
"Kappa","Theta","ventilators",0,0,1
"Kappa","Iota","ventilators",0,0,1
